year,end_mounth,subject,factor_1,delta_factor_1,per_mounth_factor_1,factor_2,delta_factor_2,per_mounth_factor_2,factor_3,delta_factor_3,per_mounth_factor_3,factor_4,delta_factor_4,per_mounth_factor_4,factor_5,delta_factor_5,per_mounth_factor_5,factor_6,delta_factor_6,per_mounth_factor_6,factor_7,delta_factor_7,per_mounth_factor_7,factor_8,delta_factor_8,per_mounth_factor_8,factor_9,delta_factor_9,per_mounth_factor_9,factor_10,delta_factor_10,per_mounth_factor_10,factor_11,delta_factor_11,per_mounth_factor_11,factor_12,delta_factor_12,per_mounth_factor_12,factor_13,delta_factor_13,per_mounth_factor_13,factor_14,delta_factor_14,per_mounth_factor_14,factor_15,delta_factor_15,per_mounth_factor_15,factor_16,delta_factor_16,per_mounth_factor_16,factor_17,delta_factor_17,per_mounth_factor_17,factor_18,delta_factor_18,per_mounth_factor_18
2014,10,Московская область,7414,7414,741.4,1377,1377,137.7,9176,9176,917.6,13,13,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Московская область,8154,740,740,1515,138,138,10083,907,907,13.1,0.09999999999999964,0.09999999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Московская область,9044,890,890,1691,176,176,11167,1084,1084,13.2,0.09999999999999964,0.09999999999999964,,,,,,,3110403,3110403,1555201.5,2527590,2527590,1263795,307699,307699,153849.5,38720,38720,19360,5158419,5158419,2579209.5,1490647,1490647,745323.5,129747,129747,64873.5,11555,11555,5777.5,1334861,1334861,667430.5,128715,128715,64357.5,11525,11525,5762.5,1475101,1475101,737550.5
2014,10,Орловская область,1199,1199,119.9,138,138,13.8,1572,1572,157.2,8.1,8.1,0.8099999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Орловская область,1297,98,98,150,12,12,1700,128,128,8.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Орловская область,1417,120,120,176,26,26,1838,138,138,8.7,0.5999999999999996,0.5999999999999996,,,,,,,328968,328968,164484,254135,254135,127067.5,53944,53944,26972,6568,6568,3284,373762,373762,186881,154125,154125,77062.5,22083,22083,11041.5,88,88,44,108300,108300,54150,21327,21327,10663.5,88,88,44,129715,129715,64857.5
2014,10,Рязанская область,2007,2007,200.7,262,262,26.2,2677,2677,267.7,8.9,8.9,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Рязанская область,2171,164,164,299,37,37,2874,197,197,9.4,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Рязанская область,2405,234,234,327,28,28,3206,332,332,9.3,-0.09999999999999964,-0.09999999999999964,,,,,,,495162,495162,247581,396238,396238,198119,62103,62103,31051.5,6100,6100,3050,381075,381075,190537.5,150855,150855,75427.5,11857,11857,5928.5,96,96,48,150855,150855,75427.5,11857,11857,5928.5,96,96,48,162808,162808,81404
2014,10,Смоленская область,1038,1038,103.8,202,202,20.2,1268,1268,126.8,13.7,13.7,1.3699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Смоленская область,1135,97,97,224,22,22,1387,119,119,13.9,0.20000000000000107,0.20000000000000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Смоленская область,1327,192,192,249,25,25,1619,232,232,13.3,-0.5999999999999996,-0.5999999999999996,,,,,,,308263,308263,154131.5,233718,233718,116859,42896,42896,21448,4927,4927,2463.5,537956,537956,268978,162610,162610,81305,25715,25715,12857.5,12695,12695,6347.5,169030,169030,84515,25826,25826,12913,12707,12707,6353.5,207563,207563,103781.5
2014,10,Тамбовская область,1717,1717,171.7,214,214,21.4,2372,2372,237.2,8.3,8.3,0.8300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Тамбовская область,1848,131,131,235,21,21,2544,172,172,8.5,0.1999999999999993,0.1999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Тамбовская область,2012,164,164,250,15,15,2764,220,220,8.3,-0.1999999999999993,-0.1999999999999993,,,,,,,408523,408523,204261.5,302528,302528,151264,41567,41567,20783.5,4269,4269,2134.5,692180,692180,346090,136300,136300,68150,23311,23311,11655.5,3366,3366,1683,113243,113243,56621.5,22761,22761,11380.5,3298,3298,1649,139302,139302,69651
2014,10,Тверская область,1744,1744,174.4,303,303,30.3,2160,2160,216,12.3,12.3,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Тверская область,1900,156,156,320,17,17,2345,185,185,12,-0.3000000000000007,-0.3000000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Тверская область,2085,185,185,346,26,26,2582,237,237,11.8,-0.1999999999999993,-0.1999999999999993,,,,,,,641665,641665,320832.5,506530,506530,253265,48042,48042,24021,8650,8650,4325,1477275,1477275,738637.5,327596,327596,163798,30829,30829,15414.5,907,907,453.5,327596,327596,163798,30829,30829,15414.5,907,907,453.5,359332,359332,179666
2014,10,Тульская область,2443,2443,244.3,316,316,31.6,3144,3144,314.4,9.1,9.1,0.9099999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Тульская область,2664,221,221,346,30,30,3415,271,271,9.2,0.09999999999999964,0.09999999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Тульская область,2926,262,262,389,43,43,3743,328,328,9.4,0.20000000000000107,0.20000000000000107,,,,,,,703255,703255,351627.5,474412,474412,237206,91651,91651,45825.5,11595,11595,5797.5,499357,499357,249678.5,190062,190062,95031,23625,23625,11812.5,726,726,363,175973,175973,87986.5,23125,23125,11562.5,732,732,366,199830,199830,99915
2014,10,Ярославская область,1646,1646,164.6,230,230,23,2023,2023,202.3,10.2,10.2,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Ярославская область,1788,142,142,252,22,22,2198,175,175,10.3,0.10000000000000142,0.10000000000000142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Ярославская область,1982,194,194,276,24,24,2444,246,246,10.1,-0.20000000000000107,-0.20000000000000107,,,,,,,393691,393691,196845.5,312169,312169,156084.5,48467,48467,24233.5,5810,5810,2905,1013594,1013594,506797,161876,161876,80938,10377,10377,5188.5,2595,2595,1297.5,983206,983206,491603,12963,12963,6481.5,2214,2214,1107,998383,998383,499191.5
2014,10,Северо-Западный фед.округ,19184,19184,1918.4,1972,1972,197.2,24414,24414,2441.4,7.5,7.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Северо-Западный фед.округ,21228,2044,2044,2190,218,218,26939,2525,2525,7.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Северо-Западный фед.округ,23467,2239,2239,2419,229,229,29715,2776,2776,7.5,0,0,,,,,,,5711742,5711742,2855871,4387383,4387383,2193691.5,640594,640594,320297,62958,62958,31479,5258705,5258705,2629352.5,2476927,2476927,1238463.5,267331,267331,133665.5,16127,16127,8063.5,2016929,2016929,1008464.5,259254,259254,129627,15759,15759,7879.5,2291942,2291942,1145971
2014,10,Республика Карелия,715,715,71.5,79,79,7.9,915,915,91.5,7.9,7.9,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Республика Карелия,798,83,83,85,6,6,1021,106,106,7.7,-0.20000000000000018,-0.20000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Республика Карелия,885,87,87,95,10,10,1134,113,113,7.7,0,0,,,,,,,327959,327959,163979.5,227887,227887,113943.5,39264,39264,19632,4088,4088,2044,271004,271004,135502,179542,179542,89771,15781,15781,7890.5,270,270,135,100956,100956,50478,15067,15067,7533.5,270,270,135,116293,116293,58146.5
2014,10,Республика Коми,1147,1147,114.7,110,110,11,1587,1587,158.7,6.5,6.5,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Республика Коми,1290,143,143,130,20,20,1797,210,210,6.7,0.20000000000000018,0.20000000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
